INFO  - 2015-04-03 22:24:44.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/pdfbox-1.8.8.jar' to classloader
INFO  - 2015-04-03 22:24:44.137; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/jmatio-1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.138; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/poi-3.11.jar' to classloader
INFO  - 2015-04-03 22:24:44.139; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/poi-ooxml-3.11.jar' to classloader
INFO  - 2015-04-03 22:24:44.139; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/poi-ooxml-schemas-3.11.jar' to classloader
INFO  - 2015-04-03 22:24:44.138; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2015-04-03 22:24:44.141; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2015-04-03 22:24:44.141; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/pdfbox-1.8.8.jar' to classloader
INFO  - 2015-04-03 22:24:44.140; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/poi-scratchpad-3.11.jar' to classloader
INFO  - 2015-04-03 22:24:44.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/rome-1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.144; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2015-04-03 22:24:44.145; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tika-core-1.7.jar' to classloader
INFO  - 2015-04-03 22:24:44.145; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tika-java7-1.7.jar' to classloader
INFO  - 2015-04-03 22:24:44.145; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tika-parsers-1.7.jar' to classloader
INFO  - 2015-04-03 22:24:44.146; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tika-xmp-1.7.jar' to classloader
INFO  - 2015-04-03 22:24:44.146; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/vorbis-java-core-0.6.jar' to classloader
INFO  - 2015-04-03 22:24:44.146; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/vorbis-java-tika-0.6.jar' to classloader
INFO  - 2015-04-03 22:24:44.147; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2015-04-03 22:24:44.147; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.147; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2015-04-03 22:24:44.147; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/xz-1.5.jar' to classloader
INFO  - 2015-04-03 22:24:44.143; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/poi-3.11.jar' to classloader
INFO  - 2015-04-03 22:24:44.149; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/dist/solr-cell-5.0.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.149; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/poi-ooxml-3.11.jar' to classloader
INFO  - 2015-04-03 22:24:44.150; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/poi-ooxml-schemas-3.11.jar' to classloader
INFO  - 2015-04-03 22:24:44.151; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/poi-scratchpad-3.11.jar' to classloader
INFO  - 2015-04-03 22:24:44.152; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/rome-1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.152; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2015-04-03 22:24:44.152; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tika-core-1.7.jar' to classloader
INFO  - 2015-04-03 22:24:44.153; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tika-java7-1.7.jar' to classloader
INFO  - 2015-04-03 22:24:44.153; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tika-parsers-1.7.jar' to classloader
INFO  - 2015-04-03 22:24:44.151; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2015-04-03 22:24:44.154; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.154; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2015-04-03 22:24:44.156; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2015-04-03 22:24:44.157; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2015-04-03 22:24:44.158; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2015-04-03 22:24:44.158; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2015-04-03 22:24:44.158; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2015-04-03 22:24:44.158; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/tika-xmp-1.7.jar' to classloader
INFO  - 2015-04-03 22:24:44.160; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/johnespinosa/Documents/pythonWorkspace/OpenEye/solr-5.0.0/contrib/extraction/lib/vorbis-java-core-0.6.jar' to classloader
